"Dataset Name","Dataset Code","Country Name","Country Code","Indicator Name","Indicator Code","Sector Name","Sector Code","Counterpart Sector Name","Counterpart Sector Code","Counterpart Country Name","Counterpart Country Code","Metadata Attribute","Metadata Value","Frequency"
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","American Samoa","859","","","","","","","","","Country SDMX Name","American Samoa",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","American Samoa","859","","","","","","","","","Country Short Name","American Samoa",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Andorra, Principality of","171","","","","","","","","","Country Code","171",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Andorra, Principality of","171","","","","","","","","","Country Full Name","Andorra, Principality of",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Andorra, Principality of","171","","","","","","","","","Country ISO 2 Code","AD",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Andorra, Principality of","171","","","","","","","","","Country ISO 3 Code","AND",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Andorra, Principality of","171","","","","","","","","","Country Name","Andorra, Principality of",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Andorra, Principality of","171","","","","","","","","","Country SDMX Code","AD",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Andorra, Principality of","171","","","","","","","","","Country SDMX Name","Andorra",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Andorra, Principality of","171","","","","","","","","","Country Short Name","Andorra",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Angola","614","","","","","","","","","Country Code","614",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Angola","614","","","","","","","","","Country Full Name","Angola",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Angola","614","","","","","","","","","Country ISO 2 Code","AO",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Angola","614","","","","","","","","","Country ISO 3 Code","AGO",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Angola","614","","","","","","","","","Country Name","Angola",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Angola","614","","","","","","","","","Country SDMX Code","AO",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Angola","614","","","","","","","","","Country SDMX Name","Angola",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Angola","614","","","","","","","","","Country Short Name","Angola",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Anguilla","312","","","","","","","","","Country Code","312",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Anguilla","312","","","","","","","","","Country Full Name","Anguilla, United Kingdom-British Overseas Territory",""
"Coordinated Portfolio Investment Survey (CPIS)","CPIS","Anguilla","312","","","","","","","","","Country ISO 2 Code","AI",""
